id|song_name|artist|lyric|lyric_by_e|lang|lyric_length|eval|misogy_estr
60|Yo te Recuerdo (part. Marc Anthony)|Juan Gabriel|Sabes, amor Yo nunca te he olvidado Te recuerdo en cada estrella, siempre que aparece Sabes amor, siempre te he recordado Te miro en cada flor, que al colibrí se ofreceSabes, amor Yo siempre te he encontrado En cada malva que florece Y en cada pájaro que canta Cuando amanece y anochece Yo te recuerdoCuando las hojas bailan Cuando el aire nos las mece Cuando la noche es blanca Cuando a las siete se oscureceCuando la lluvia cae Cuando desaparece Cuando la luna sale Y cuando el sol se mete Yo te recuerdo(Sabes, amor) Yo siempre estoy pensando en ti (Yo te recuerdo) Aunque dicen que recordar es morir un poco así(Sabes, amor) Que divino es el pensamiento Te veo, te escucho, te abrazo Y siento que no has partido tu Que aun estás aquíYo te recuerdo Estoy pensando que te acercas Me abrazas, me besas, se va mi tristeza Ver que me amas y al ver que me hace muy feliz(Sabes, amor) Aunque de tanto, y tanto pensar Yo voy a parar, en loco sí Cuando amanece y anochece Yo te recuerdo|Sabes, amor Yo nunca te he olvidado Te recuerdo en cada estrella, siempre que aparece Sabes amor, siempre te he recordado Te miro en cada flor, que al colibrí se ofrece<>Sabes, amor Yo siempre te he encontrado En cada malva que florece Y en cada pájaro que canta Cuando amanece y anochece Yo te recuerdo<>Cuando las hojas bailan Cuando el aire nos las mece Cuando la noche es blanca Cuando a las siete se oscurece<>Cuando la lluvia cae Cuando desaparece Cuando la luna sale Y cuando el sol se mete Yo te recuerdo<>(Sabes, amor) Yo siempre estoy pensando en ti (Yo te recuerdo) Aunque dicen que recordar es morir un poco así<>(Sabes, amor) Que divino es el pensamiento Te veo, te escucho, te abrazo Y siento que no has partido tu Que aun estás aquí<>Yo te recuerdo Estoy pensando que te acercas Me abrazas, me besas, se va mi tristeza Ver que me amas y al ver que me hace muy feliz<>(Sabes, amor) Aunque de tanto, y tanto pensar Yo voy a parar, en loco sí Cuando amanece y anochece Yo te recuerdo<>|es|981|[('active', 3.7657611072063446), ('stereotype', 3.1230388209223747), ('sexual_harassment', 2.108983136713505), ('dominance', 1.560302171856165)]|('(Sabes, amor) Aunque de tanto, y tanto pensar Yo voy a parar, en loco sí Cuando amanece y anochece Yo te recuerdo', ('stereotype', 3.8102414458990097), 0)
61|Que Nadie Sepa Mi Sufrir|Julio Jaramillo|No te asombres si te digo lo que fuiste Una ingrata con mi pobre corazón, Porque el fuego de tus lindos ojos negros Alumbraron el camino de otro amor. Porque el fuego de tus lindos ojos negros Alumbraron el camino de otro amor.Amor de mis amores! Reina mía... Que me hiciste Que no puedo conformarme Sin poderte contemplar? Ya que pagaste mal mi cariño tan sincero, Lo que conseguirás Que no te nombre nunca más...Amor de mis amores!... Si dejaste de quererme, No hay cuidado que la gente De eso no se enterará... Qué gano con decir que una mujer cambió mi suerte? Se burlarán de mí.Que nadie sepa mi sufrir...Y pensar que te adoraba ciegamente Que a tu lado como nunca me sentí, Y por esas cosas raras de la vida, Sin el beso de tu boca yo me vi. Y por esas cosas raras de la vida, Sin el beso de tu boca yo me vi.Amor de mis amores! Reina mía... Que me hiciste Que no puedo conformarme Sin poderte contemplar?Ya que pagaste mal mi cariño tan sincero, Lo que conseguirás Que no te nombre nunca más...Amor de mis amores!... Si dejaste de quererme, No hay cuidado que la gente De eso no se enterará... Qué gano con decir que una mujer cambió mi suerte? Se burlarán de mí.Que nadie sepa mi sufrir...|No te asombres si te digo lo que fuiste Una ingrata con mi pobre corazón, Porque el fuego de tus lindos ojos negros Alumbraron el camino de otro amor. Porque el fuego de tus lindos ojos negros Alumbraron el camino de otro amor.<>Amor de mis amores! Reina mía... Que me hiciste Que no puedo conformarme Sin poderte contemplar? Ya que pagaste mal mi cariño tan sincero, Lo que conseguirás Que no te nombre nunca más...<>Amor de mis amores!... Si dejaste de quererme, No hay cuidado que la gente De eso no se enterará... Qué gano con decir que una mujer cambió mi suerte? Se burlarán de mí.<>Que nadie sepa mi sufrir...<>Y pensar que te adoraba ciegamente Que a tu lado como nunca me sentí, Y por esas cosas raras de la vida, Sin el beso de tu boca yo me vi. Y por esas cosas raras de la vida, Sin el beso de tu boca yo me vi.<>Amor de mis amores! Reina mía... Que me hiciste Que no puedo conformarme Sin poderte contemplar?<>Ya que pagaste mal mi cariño tan sincero, Lo que conseguirás Que no te nombre nunca más...<>Amor de mis amores!... Si dejaste de quererme, No hay cuidado que la gente De eso no se enterará... Qué gano con decir que una mujer cambió mi suerte? Se burlarán de mí.<>Que nadie sepa mi sufrir...<>|es|1197|[('active', 27.13444232940674), ('stereotype', 11.360040307044983), ('dominance', 5.031222850084305), ('discredit', 4.309646412730217)]|('Que nadie sepa mi sufrir...', ('dominance', 6.404509395360947), 3)
62|Despedida|Daniel Santos|Vengo a decirle adiós a los muchachos Porque pronto me voy para la guerra Y aunque vaya a pelear en otras tierras Voy a salvar mi derecho, mi patria y mi feYa yo me despedí de mi adorada Y le pedí por Dios que nunca llore Que recuerde por siempre mis amores que Yo de ella nunca me olvidaréSolo me parte el alma y me condena Que deje tan solita a mi mamá Mi pobre madrecita que es tan vieja Quien en mi ausencia la consolaraQuien me le hará un favor si necesita Quien la socorrerá si se enfermara Quien le hablara de mí si preguntara Por este hijo que nunca quisas volveráQuien me le rezara si ella se muere Quien pondrá una flor en su sepultura Quien se condolerá de mi amargura si Yo vuelvo y no encuentro a mi mamá|Vengo a decirle adiós a los muchachos Porque pronto me voy para la guerra Y aunque vaya a pelear en otras tierras Voy a salvar mi derecho, mi patria y mi fe<>Ya yo me despedí de mi adorada Y le pedí por Dios que nunca llore Que recuerde por siempre mis amores que Yo de ella nunca me olvidaré<>Solo me parte el alma y me condena Que deje tan solita a mi mamá Mi pobre madrecita que es tan vieja Quien en mi ausencia la consolara<>Quien me le hará un favor si necesita Quien la socorrerá si se enfermara Quien le hablara de mí si preguntara Por este hijo que nunca quisas volverá<>Quien me le rezara si ella se muere Quien pondrá una flor en su sepultura Quien se condolerá de mi amargura si Yo vuelvo y no encuentro a mi mamá<>|es|717|[('active', 3.3133238554000854), ('stereotype', 3.1642209738492966), ('sexual_harassment', 1.613672450184822), ('passive', 1.34841687977314)]|('Quien me le rezara si ella se muere Quien pondrá una flor en su sepultura Quien se condolerá de mi amargura si Yo vuelvo y no encuentro a mi mamá', ('stereotype', 9.234930574893951), 0)
63|Cinco Centavitos|Julio Jaramillo|Quiero comprarle a la vida Cinco centavitos de felicidad Quiero tener yo mi dicha Pagando con sangre y con lágrimasQuiero tenerte en mis brazos Tan sólo un minuto poderte besar Aunque después no te tenga Y viva un infierno y tenga que llorarAunque me mate la angustia De saber que fuiste y ya no serás Quiero comprarle a la vida Cinco centavitos de felicidadQuiero comprarle a la vida Cinco centavitos de felicidad Quiero tener yo mi dicha Pagando con sangre y con lágrimasQuiero tenerte en mis brazos Tan sólo un minuto poderte besar Aunque después no te tenga Y viva un infierno y tenga que llorarAunque me mate la angustia De saber que fuiste y ya no serás Quiero comprarle a la vida Cinco centavitos de felicidad|Quiero comprarle a la vida Cinco centavitos de felicidad Quiero tener yo mi dicha Pagando con sangre y con lágrimas<>Quiero tenerte en mis brazos Tan sólo un minuto poderte besar Aunque después no te tenga Y viva un infierno y tenga que llorar<>Aunque me mate la angustia De saber que fuiste y ya no serás Quiero comprarle a la vida Cinco centavitos de felicidad<>Quiero comprarle a la vida Cinco centavitos de felicidad Quiero tener yo mi dicha Pagando con sangre y con lágrimas<>Quiero tenerte en mis brazos Tan sólo un minuto poderte besar Aunque después no te tenga Y viva un infierno y tenga que llorar<>Aunque me mate la angustia De saber que fuiste y ya no serás Quiero comprarle a la vida Cinco centavitos de felicidad<>|es|716|[('active', 17.952704429626465), ('sexual_harassment', 13.414672017097473), ('stereotype', 7.962804287672043), ('dominance', 1.9317502155900002)]|('Aunque me mate la angustia De saber que fuiste y ya no serás Quiero comprarle a la vida Cinco centavitos de felicidad', ('stereotype', 6.027904152870178), 2)
64|Amar Y Vivir|Julio Jaramillo|Por qué no han de saber Que te amo vida mía Por que no he de decirlo Si tu fundes tu alma Con el alma míaNo importa si después Me ven llorando un día Si acaso me preguntan Les diré que te quiero Mucho todavíaSe vive solamente una vez Hay que aprender a querer y a vivir Hay que saber que esta vida Se aleja y nos deja Llorando quimerasNo quiero arrepentirme después De lo que pudo haber sido y no fue Quiero gozar esta vida Teniéndote cerca De mi hasta que mueraSe vive solamente una vez Hay que aprender a querer y a vivir Hay que saber que esta vida Se aleja y nos deja Llorando quimerasNo quiero arrepentirme después De lo que pudo haber sido y no fue Quiero gozar esta vida Teniéndote cerca De mi hasta que muera|Por qué no han de saber Que te amo vida mía Por que no he de decirlo Si tu fundes tu alma Con el alma mía<>No importa si después Me ven llorando un día Si acaso me preguntan Les diré que te quiero Mucho todavía<>Se vive solamente una vez Hay que aprender a querer y a vivir Hay que saber que esta vida Se aleja y nos deja Llorando quimeras<>No quiero arrepentirme después De lo que pudo haber sido y no fue Quiero gozar esta vida Teniéndote cerca De mi hasta que muera<>Se vive solamente una vez Hay que aprender a querer y a vivir Hay que saber que esta vida Se aleja y nos deja Llorando quimeras<>No quiero arrepentirme después De lo que pudo haber sido y no fue Quiero gozar esta vida Teniéndote cerca De mi hasta que muera<>|es|716|[('active', 7.647418230772018), ('stereotype', 6.360826641321182), ('sexual_harassment', 3.781382367014885), ('dominance', 2.2281095385551453)]|('No quiero arrepentirme después De lo que pudo haber sido y no fue Quiero gozar esta vida Teniéndote cerca De mi hasta que muera', ('sexual_harassment', 51.64371728897095), 2)
65|Yo No Naci Para Amar|Juan Gabriel|A mis dieciseis anhelaba tanto un amor que no llegó Siempre lo esperé Todos mis amigos se encontraban en la misma situación Y después yo vi como iban cambiando su manera de vivir Todos con su amor, cada uno de ellos Muy sonrientes muy felices Menos yoY la soledad Cada vez más triste, y más oscura yo viví Y a esa edad Todos preguntaban los motivos Yo solia siempre decirYo no nací para amar Nadie nació para mí Tan solo fui Un loco soñador nomás Yo no nací para amar Nadie nació para mí Mis sueños nunca Se volvieron realidadSiempre lo busqué pero, nunca pude encontrar ese amor Siempre lo esperé y en todas partes que esperaba Ese amor nunca llegó Hoy mi soledad cada vez más triste Y más oscura pueden ver Hoy en esta edad aún me preguntan mis amigos Y es tan triste responderYo no nací para amar Nadie nació para mí Tan solo fui Un loco soñador nomás Yo no nací para amar Nadie nació para mí Mis sueños nunca Se volvieron realidadYo no nací para amar Nadie nació para mí Tan solo fui Un loco soñador nomás Yo no nací para amar Nadie nació para mí Mis sueños no se realizaron Yo no nací para amar|A mis dieciseis anhelaba tanto un amor que no llegó Siempre lo esperé Todos mis amigos se encontraban en la misma situación Y después yo vi como iban cambiando su manera de vivir Todos con su amor, cada uno de ellos Muy sonrientes muy felices Menos yo<>Y la soledad Cada vez más triste, y más oscura yo viví Y a esa edad Todos preguntaban los motivos Yo solia siempre decir<>Yo no nací para amar Nadie nació para mí Tan solo fui Un loco soñador nomás Yo no nací para amar Nadie nació para mí Mis sueños nunca Se volvieron realidad<>Siempre lo busqué pero, nunca pude encontrar ese amor Siempre lo esperé y en todas partes que esperaba Ese amor nunca llegó Hoy mi soledad cada vez más triste Y más oscura pueden ver Hoy en esta edad aún me preguntan mis amigos Y es tan triste responder<>Yo no nací para amar Nadie nació para mí Tan solo fui Un loco soñador nomás Yo no nací para amar Nadie nació para mí Mis sueños nunca Se volvieron realidad<>Yo no nací para amar Nadie nació para mí Tan solo fui Un loco soñador nomás Yo no nací para amar Nadie nació para mí Mis sueños no se realizaron Yo no nací para amar<>|es|1099|[('active', 1.915963739156723), ('stereotype', 1.5081671066582203), ('sexual_harassment', 1.283120084553957), ('dominance', 1.220986433327198)]|('Yo no nací para amar Nadie nació para mí Tan solo fui Un loco soñador nomás Yo no nací para amar Nadie nació para mí Mis sueños no se realizaron Yo no nací para amar', ('stereotype', 2.0494794473052025), 0)
66|La Farsante|Juan Gabriel|Yo creí que eras buena Yo creí que eras sincera Yo te di mi cariño resultaste traicionera Tu me hiciste rebelde Tu me hiciste tu enemigo Porque me traicionaste sin razón y sin motivo Este orgullo que tengo no lo vas a mirar En el suelo tirado como una basura Yo me quito hasta el nombre Y te doy mi palabra de honor Que de mi no te burlas Yo te juro por todo lo que sucedió Que te arrepentirás de este mal que me haz hecho Sabes que, que no descansare hasta verte a mis pies Y eso dalo por hechoYa veras traicionera lo vas a pagar muy caro Yo soy bueno a la buena Y por la mala, soy muy malo No quisiste ser buena y ya ves lo que resulta Yo no quise ser malo pero tu tienes la culpaY es que tu ya de mi no te vas a burlar Hoy de puro capricho yo haré que me quieras Ya veras que hasta vas a aprender como debes amar a Dios En tierra ajenaPorque tu a mis espaldas me hiciste traición Hoy por eso te voy a quitar lo farsante Voy a hacer que tu en cara me pidas perdón y me implores amor Delante de tu amante|Yo creí que eras buena Yo creí que eras sincera Yo te di mi cariño resultaste traicionera Tu me hiciste rebelde Tu me hiciste tu enemigo Porque me traicionaste sin razón y sin motivo Este orgullo que tengo no lo vas a mirar En el suelo tirado como una basura Yo me quito hasta el nombre Y te doy mi palabra de honor Que de mi no te burlas Yo te juro por todo lo que sucedió Que te arrepentirás de este mal que me haz hecho Sabes que, que no descansare hasta verte a mis pies Y eso dalo por hecho<>Ya veras traicionera lo vas a pagar muy caro Yo soy bueno a la buena Y por la mala, soy muy malo No quisiste ser buena y ya ves lo que resulta Yo no quise ser malo pero tu tienes la culpa<>Y es que tu ya de mi no te vas a burlar Hoy de puro capricho yo haré que me quieras Ya veras que hasta vas a aprender como debes amar a Dios En tierra ajena<>Porque tu a mis espaldas me hiciste traición Hoy por eso te voy a quitar lo farsante Voy a hacer que tu en cara me pidas perdón y me implores amor Delante de tu amante<>|es|1005|[('active', 93.8542127609253), ('sexual_harassment', 47.377097606658936), ('stereotype', 15.121906995773315), ('discredit', 13.689044117927551)]|('Porque tu a mis espaldas me hiciste traición Hoy por eso te voy a quitar lo farsante Voy a hacer que tu en cara me pidas perdón y me implores amor Delante de tu amante', ('sexual_harassment', 81.64702653884888), 4)
67|Orgullo|Los Panchos|Me dejas, ciegamente, enamorado lo sabes, y es por eso, que te vas esperas verme loco y humillado Pero eso, eso no que nunca, nunca llegaráYa ves yo no voy a negar este amor que por ti siento que ardeYa ves cuando llego a tu altar me arrodillo medroso y cobardeEs posible que pierda la mitad de mi vida queriendo olvidarteY también es posible que sangre mi herida si vuelvo a encontrarteYa ves yo no voy a negar el calor de tus besos profanosMás no me verás regresar con la flor del perdón en las manosY todo ese amor que a tus plantas rodó como tuyo lo voy a vencer con el recio puñal de mi orgulloY todo el amor que a tus plantas rodó como tuyo lo voy a vencer con el recio puñal de mi orgullo de mi orgullo de mi orgullo|Me dejas, ciegamente, enamorado lo sabes, y es por eso, que te vas esperas verme loco y humillado Pero eso, eso no que nunca, nunca llegará<>Ya ves yo no voy a negar este amor que por ti siento que arde<>Ya ves cuando llego a tu altar me arrodillo medroso y cobarde<>Es posible que pierda la mitad de mi vida queriendo olvidarte<>Y también es posible que sangre mi herida si vuelvo a encontrarte<>Ya ves yo no voy a negar el calor de tus besos profanos<>Más no me verás regresar con la flor del perdón en las manos<>Y todo ese amor que a tus plantas rodó como tuyo lo voy a vencer con el recio puñal de mi orgullo<>Y todo el amor que a tus plantas rodó como tuyo lo voy a vencer con el recio puñal de mi orgullo de mi orgullo de mi orgullo<>|es|723|[('active', 23.94900918006897), ('sexual_harassment', 12.964095175266266), ('stereotype', 6.149588152766228), ('dominance', 2.816348522901535)]|('Y todo el amor que a tus plantas rodó como tuyo lo voy a vencer con el recio puñal de mi orgullo de mi orgullo de mi orgullo', ('sexual_harassment', 7.5473107397556305), 2)
68|Costumbres|Juan Gabriel|Háblame de ti Cuéntame de tu vida Sabes tu muy bien Que yo estoy convencida Sé que tu no puedes Aunque intentes, olvidarme Siempre volverás Una y otra vez, Una y otra vez Siempre volverás Aunque ya no sientas mas amor por mi Solo rencor Yo tampoco Tengo nada que sentir Y eso es peor Pero te extraño, también te extraño No cabe duda que es verdad que la costumbre Es mas fuerte que el amor.Sé que tu no puedes Aunque intentes, olvidarme Siempre volverás Una y otra vez, Una y otra vez Siempre volverás Aunque ya no sientas mas amor por mi Solo rencor Yo tampoco Tengo nada que sentir Y eso es peor Pero te extraño, como te extraño No cabe duda que es verdad que la costumbre Es mas fuerte que el amor.No cabe duda que es verdad que la costumbre Es mas fuerte que el amor|Háblame de ti Cuéntame de tu vida Sabes tu muy bien Que yo estoy convencida Sé que tu no puedes Aunque intentes, olvidarme Siempre volverás Una y otra vez, Una y otra vez Siempre volverás Aunque ya no sientas mas amor por mi Solo rencor Yo tampoco Tengo nada que sentir Y eso es peor Pero te extraño, también te extraño No cabe duda que es verdad que la costumbre Es mas fuerte que el amor.<>Sé que tu no puedes Aunque intentes, olvidarme Siempre volverás Una y otra vez, Una y otra vez Siempre volverás Aunque ya no sientas mas amor por mi Solo rencor Yo tampoco Tengo nada que sentir Y eso es peor Pero te extraño, como te extraño No cabe duda que es verdad que la costumbre Es mas fuerte que el amor.<>No cabe duda que es verdad que la costumbre Es mas fuerte que el amor<>|es|770|[('stereotype', 3.309217467904091), ('active', 3.1818851828575134), ('dominance', 1.6125259920954704), ('passive', 1.521865651011467)]|('No cabe duda que es verdad que la costumbre Es mas fuerte que el amor', ('stereotype', 35.133543610572815), 0)
69|Nosotros|Los Panchos|Los Panchos: Atiéndeme Quiero decirte algo Que quizás no esperes Doloroso tal vezEddie: Escúchame aunque me duela el alma Yo necesito hablarte Y así lo haréEddie: Nosotros que fuimos tan sinceros que desde que nos vimos amandonos estamosEddie: Nosotros Que del amor hicimos Un sol maravilloso Romance tan divinoEddie: Nosotros Que nos queremos tanto Debemos separarnos No me preguntes másEddie: No es falta de cariño Te quiero con el alma Te juro que te adoro Y en nombre de este amor Y por tu bien Te digo adiósLos Panchos: Nosotros Que nos queremos tanto Debemos separarnos No me preguntes másEddie: No es falta de cariño Te quiero con el alma Te juro que te adoro Y en nombre de este amor Y por tu bienEddie/Los Panchos Te digo adiós|Los Panchos: Atiéndeme Quiero decirte algo Que quizás no esperes Doloroso tal vez<>Eddie: Escúchame aunque me duela el alma Yo necesito hablarte Y así lo haré<>Eddie: Nosotros que fuimos tan sinceros que desde que nos vimos amandonos estamos<>Eddie: Nosotros Que del amor hicimos Un sol maravilloso Romance tan divino<>Eddie: Nosotros Que nos queremos tanto Debemos separarnos No me preguntes más<>Eddie: No es falta de cariño Te quiero con el alma Te juro que te adoro Y en nombre de este amor Y por tu bien Te digo adiós<>Los Panchos: Nosotros Que nos queremos tanto Debemos separarnos No me preguntes más<>Eddie: No es falta de cariño Te quiero con el alma Te juro que te adoro Y en nombre de este amor Y por tu bien<>Eddie/Los Panchos Te digo adiós<>|es|736|[('active', 3.5217788070440292), ('stereotype', 2.400737814605236), ('sexual_harassment', 2.2652486339211464), ('dominance', 1.5445031225681305)]|('Eddie/Los Panchos Te digo adiós', ('stereotype', 2.4984071031212807), 0)
70|Amor de mis amores|Agustín Lara|Poniendo la mano sobre el corazón Quisiera decirte al compás de un son Que tú eres mi vida Que no quiero a nadie Que respiro el aire, que respiro el aire Que respiras túAmor de mis amores Sangre de mi alma Regálame las flores De la esperanza Permite que ponga Toda dulce verdad que tienen mis doloresPara decirte que tú eres el amor de mis amoresPermite que ponga Toda dulce verdad que tienen mis doloresPara decirte que tú eres el amor de mis amores|Poniendo la mano sobre el corazón Quisiera decirte al compás de un son Que tú eres mi vida Que no quiero a nadie Que respiro el aire, que respiro el aire Que respiras tú<>Amor de mis amores Sangre de mi alma Regálame las flores De la esperanza Permite que ponga Toda dulce verdad que tienen mis dolores<>Para decirte que tú eres el amor de mis amores<>Permite que ponga Toda dulce verdad que tienen mis dolores<>Para decirte que tú eres el amor de mis amores<>|es|450|[('active', 3.4950274974107742), ('sexual_harassment', 2.35457681119442), ('stereotype', 2.1484123542904854), ('dominance', 1.3029119931161404)]|('Para decirte que tú eres el amor de mis amores', ('sexual_harassment', 8.046519011259079), 0)
71|La Tirana|La Lupe|Según tu punto de vista Yo soy la mala Vampiresa en tu novela La gran tiranaCada cual en este mundo Cuenta el cuento a su manera Y lo hace ver de otro modo En la mente de cualquieraDesencadenas en mi Venenosos comentarios Después de hacerme sufrir El peor de los calvariosSegún tu punto de vista Yo soy la mala La que te llego hasta el alma La gran tiranaPara mi es indiferente Lo que sigas comentando Si dice la misma gente Que el día en que te deje Fui yo quien salio ganandoQue el día en que te deje Fui yo quien salio ganando|Según tu punto de vista Yo soy la mala Vampiresa en tu novela La gran tirana<>Cada cual en este mundo Cuenta el cuento a su manera Y lo hace ver de otro modo En la mente de cualquiera<>Desencadenas en mi Venenosos comentarios Después de hacerme sufrir El peor de los calvarios<>Según tu punto de vista Yo soy la mala La que te llego hasta el alma La gran tirana<>Para mi es indiferente Lo que sigas comentando Si dice la misma gente Que el día en que te deje Fui yo quien salio ganando<>Que el día en que te deje Fui yo quien salio ganando<>|es|529|[('discredit', 43.95107328891754), ('active', 23.235130310058594), ('passive', 17.56071299314499), ('stereotype', 11.885468661785126)]|('Que el día en que te deje Fui yo quien salio ganando', ('sexual_harassment', 14.644056558609009), 2)
72|Angelitos Negros|Antonio Machín|Pintor nacido en mi tierra Con el pincel extranjero Pintor que sigues el rumbo De tantos pintores viejosAunque la virgen sea blanca Píntame angelitos negros Que también se van al cielo Todos los negritos buenosPintor, si pintas con amor Por qué desprecias tu color Si sabes que en cielo También los quiere diosPintor de santos de alcoba Si tienes alma en el cuerpo Por qué al pintar en tus cuadros Te olvidaste de los negrosSiempre que pintas iglesias Pintas angelitos bellos Pero nunca te acordaste De pintar un angel negroSiempre que pintas iglesias Pintas angelitos bellos Pero nunca te acordaste De pintar un ángel negro|Pintor nacido en mi tierra Con el pincel extranjero Pintor que sigues el rumbo De tantos pintores viejos<>Aunque la virgen sea blanca Píntame angelitos negros Que también se van al cielo Todos los negritos buenos<>Pintor, si pintas con amor Por qué desprecias tu color Si sabes que en cielo También los quiere dios<>Pintor de santos de alcoba Si tienes alma en el cuerpo Por qué al pintar en tus cuadros Te olvidaste de los negros<>Siempre que pintas iglesias Pintas angelitos bellos Pero nunca te acordaste De pintar un angel negro<>Siempre que pintas iglesias Pintas angelitos bellos Pero nunca te acordaste De pintar un ángel negro<>|es|624|[('stereotype', 3.298596292734146), ('passive', 3.125522658228874), ('active', 2.1661778911948204), ('discredit', 1.890808716416359)]|('Siempre que pintas iglesias Pintas angelitos bellos Pero nunca te acordaste De pintar un ángel negro', ('stereotype', 4.988161101937294), 0)
73|Ya Es Muy Tarde|Los Panchos|Ya es, muy tarde, para remediar, todo lo que ha, pasado Ya es, muy tarde, para revivir, nuestro viejo, quererPreferible, para ti, que olvides, el pasado Ya es, muy tarde, si tratas de volver, eso no puede serEn muchas, ocasiones, te busque, y a tus plantas De rodillas, imploréYa no, insistas, en reunir, tu vida, con la mía ********ya es, muy tarde, si tratas de volver Resígnate, a perder ******bis….finalIntro………..Bis….todo|Ya es, muy tarde, para remediar, todo lo que ha, pasado Ya es, muy tarde, para revivir, nuestro viejo, querer<>Preferible, para ti, que olvides, el pasado Ya es, muy tarde, si tratas de volver, eso no puede ser<>En muchas, ocasiones, te busque, y a tus plantas De rodillas, imploré<>Ya no, insistas, en reunir, tu vida, con la mía ********ya es, muy tarde, si tratas de volver Resígnate, a perder ******bis….final<>Intro………..<>Bis….todo<>|es|426|[('active', 4.459374397993088), ('dominance', 3.1189970672130585), ('sexual_harassment', 2.7224313467741013), ('stereotype', 2.5803687050938606)]|('Bis….todo', ('dominance', 7.395297288894653), 0)
75|El Tiempo Que Te Quede Libre|Los Panchos|El tiempo que te quede libre si te es posible, dedícalo a mí.A cambio de mi vida entera o lo que me queda y que te ofrezco yo.Atiende preferentemente a toda esa gente que te pide amor.Pero el tiempo que te quede libre si te es posible dedícalo a mí.El tiempo que te quede libre si te es posible dedícalo a mi.No importa que sean dos minutos o si es uno solo yo seré feliz; con tal de que vivamos juntos lo mejor de todo dedicado a mi.Y luego cuando te reclamen y otra vez te llamen volveré a decir: el tiempo que te quede libre si te es posible dedícalo a mi.El tiempo que te quede libre si te es posible dedícalo a mi.No importa que sean dos minutos o si es uno solo yo seré feliz; con tal de que vivamos juntos lo mejor de todo dedicado a mi.Y luego cuando te reclamen y otra vez te llamen volveré a decir: el tiempo que te quede libre si te es posible dedícalo a mi.El tiempo que te quede libre si te es posible dedícalo a mi.|El tiempo que te quede libre si te es posible, dedícalo a mí.<>A cambio de mi vida entera o lo que me queda y que te ofrezco yo.<>Atiende preferentemente a toda esa gente que te pide amor.<>Pero el tiempo que te quede libre si te es posible dedícalo a mí.<>El tiempo que te quede libre si te es posible dedícalo a mi.<>No importa que sean dos minutos o si es uno solo yo seré feliz; con tal de que vivamos juntos lo mejor de todo dedicado a mi.<>Y luego cuando te reclamen y otra vez te llamen volveré a decir: el tiempo que te quede libre si te es posible dedícalo a mi.<>El tiempo que te quede libre si te es posible dedícalo a mi.<>No importa que sean dos minutos o si es uno solo yo seré feliz; con tal de que vivamos juntos lo mejor de todo dedicado a mi.<>Y luego cuando te reclamen y otra vez te llamen volveré a decir: el tiempo que te quede libre si te es posible dedícalo a mi.<>El tiempo que te quede libre si te es posible dedícalo a mi.<>|es|929|[('active', 13.947516679763794), ('sexual_harassment', 10.284612327814102), ('stereotype', 4.847899824380875), ('dominance', 4.316976293921471)]|('El tiempo que te quede libre si te es posible dedícalo a mi.', ('dominance', 26.966214179992676), 1)
76|Arrepentida|Julio Jaramillo|No sé por qué No sé por qué me enamoré de ti Sin conocerte siquiera Sin saber lo que erasO fue tu voz Tu dulce voz que tantas veces oí En expresivas palabras de amores Palabras que aún viven en mi frenesíMás hoy sé que has jugado conmigo Satisfecha quizá ya estarás Ríete no más, ríe te digo Pero no olvides que algún día sufrirásCuando la vida te trate indiferente Y mires tardíamente lo que ya no tendrás Arrepentida buscarás alivio a tu alma Y entre lágrimas amargas sola y triste llorarás|No sé por qué No sé por qué me enamoré de ti Sin conocerte siquiera Sin saber lo que eras<>O fue tu voz Tu dulce voz que tantas veces oí En expresivas palabras de amores Palabras que aún viven en mi frenesí<>Más hoy sé que has jugado conmigo Satisfecha quizá ya estarás Ríete no más, ríe te digo Pero no olvides que algún día sufrirás<>Cuando la vida te trate indiferente Y mires tardíamente lo que ya no tendrás Arrepentida buscarás alivio a tu alma Y entre lágrimas amargas sola y triste llorarás<>|es|492|[('active', 81.21938109397888), ('sexual_harassment', 37.891897559165955), ('stereotype', 31.8697452545166), ('dominance', 8.305651694536209)]|('Cuando la vida te trate indiferente Y mires tardíamente lo que ya no tendrás Arrepentida buscarás alivio a tu alma Y entre lágrimas amargas sola y triste llorarás', ('stereotype', 86.00645661354065), 2)
